Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
355,509529,"exercises/easy/ex2-type-checker.js",420,0,"r",javascript,content
356,509642,"exercises/easy/ex2-type-checker.js",421,0,"b",javascript,content
357,510177,"exercises/easy/ex2-type-checker.js",421,1,"",javascript,content
358,510344,"exercises/easy/ex2-type-checker.js",420,1,"",javascript,content
359,510510,"exercises/easy/ex2-type-checker.js",419,1,"",javascript,content
360,510961,"exercises/easy/ex2-type-checker.js",419,0,"u",javascript,content
361,511199,"exercises/easy/ex2-type-checker.js",420,0,"r",javascript,content
362,511342,"exercises/easy/ex2-type-checker.js",421,0,"n",javascript,content
363,512629,"exercises/easy/ex2-type-checker.js",422,0,"{}",javascript,content
364,514108,"exercises/easy/ex2-type-checker.js",424,0,";",javascript,content
365,525945,"exercises/easy/ex2-type-checker.js",428,0,"s",javascript,content
366,526040,"exercises/easy/ex2-type-checker.js",429,0,"h",javascript,content
367,526178,"exercises/easy/ex2-type-checker.js",430,0,"o",javascript,content
368,526278,"exercises/easy/ex2-type-checker.js",431,0,"w",javascript,content
369,526693,"exercises/easy/ex2-type-checker.js",432,0,"A",javascript,content
370,526827,"exercises/easy/ex2-type-checker.js",433,0,"l",javascript,content
371,526959,"exercises/easy/ex2-type-checker.js",434,0,"l",javascript,content
372,527297,"exercises/easy/ex2-type-checker.js",435,0,"T",javascript,content
373,527662,"exercises/easy/ex2-type-checker.js",436,0,"y",javascript,content
374,527847,"exercises/easy/ex2-type-checker.js",437,0,"p",javascript,content
375,528064,"exercises/easy/ex2-type-checker.js",438,0,"e",javascript,content
376,528655,"exercises/easy/ex2-type-checker.js",439,0,"s",javascript,content
377,528928,"exercises/easy/ex2-type-checker.js",428,12,"showAllTypes",javascript,content
377,528928,"exercises/easy/ex2-type-checker.js",428,12,"showAllTypes",javascript,content
378,528930,"exercises/easy/ex2-type-checker.js",440,0,"()",javascript,content
379,530091,"exercises/easy/ex2-type-checker.js",442,0,";",javascript,content
380,566882,"exercises/easy/ex2-type-checker.js",413,0,"\n  ",javascript,content
381,567009,"exercises/easy/ex2-type-checker.js",416,0,"\n  ",javascript,content
381,567009,"exercises/easy/ex2-type-checker.js",416,0,"\n  ",javascript,content
382,567009,"exercises/easy/ex2-type-checker.js",414,2,"",javascript,content
383,568193,"exercises/easy/ex2-type-checker.js",417,0,"c",javascript,content
384,568258,"exercises/easy/ex2-type-checker.js",418,0,"o",javascript,content
385,568467,"exercises/easy/ex2-type-checker.js",419,0,"n",javascript,content
386,568644,"exercises/easy/ex2-type-checker.js",420,0,"s",javascript,content
387,568781,"exercises/easy/ex2-type-checker.js",421,0,"o",javascript,content
388,568992,"exercises/easy/ex2-type-checker.js",422,0,"l",javascript,content
389,569248,"exercises/easy/ex2-type-checker.js",423,0,"e",javascript,content
390,569443,"exercises/easy/ex2-type-checker.js",417,7,"console",javascript,content
390,569443,"exercises/easy/ex2-type-checker.js",417,7,"console",javascript,content
391,569444,"exercises/easy/ex2-type-checker.js",424,0,".",javascript,content
392,569781,"exercises/easy/ex2-type-checker.js",425,0,"l",javascript,content
393,569976,"exercises/easy/ex2-type-checker.js",426,0,"o",javascript,content
394,570248,"exercises/easy/ex2-type-checker.js",427,0,"g",javascript,content
395,570511,"exercises/easy/ex2-type-checker.js",424,4,".log",javascript,content
395,570511,"exercises/easy/ex2-type-checker.js",424,4,".log",javascript,content
396,570513,"exercises/easy/ex2-type-checker.js",428,0,"()",javascript,content
397,570809,"exercises/easy/ex2-type-checker.js",429,0,"t",javascript,content
398,570997,"exercises/easy/ex2-type-checker.js",430,0,"y",javascript,content
399,571065,"exercises/easy/ex2-type-checker.js",431,0,"p",javascript,content
400,571226,"exercises/easy/ex2-type-checker.js",432,0,"e",javascript,content
401,571577,"exercises/easy/ex2-type-checker.js",433,0,"o",javascript,content
402,571710,"exercises/easy/ex2-type-checker.js",434,0,"f",javascript,content
403,572059,"exercises/easy/ex2-type-checker.js",435,0," ",javascript,content
404,572241,"exercises/easy/ex2-type-checker.js",436,0,"o",javascript,content
405,572340,"exercises/easy/ex2-type-checker.js",437,0,"b",javascript,content
406,572467,"exercises/easy/ex2-type-checker.js",438,0,"j",javascript,content
407,572613,"exercises/easy/ex2-type-checker.js",439,0,"e",javascript,content
408,572725,"exercises/easy/ex2-type-checker.js",440,0,"c",javascript,content
409,573861,"exercises/easy/ex2-type-checker.js",440,1,"",javascript,content
410,574045,"exercises/easy/ex2-type-checker.js",439,1,"",javascript,content
411,574229,"exercises/easy/ex2-type-checker.js",438,1,"",javascript,content
412,574396,"exercises/easy/ex2-type-checker.js",437,1,"",javascript,content
413,574545,"exercises/easy/ex2-type-checker.js",436,1,"",javascript,content
414,574996,"exercises/easy/ex2-type-checker.js",436,0,"o",javascript,content
415,575183,"exercises/easy/ex2-type-checker.js",437,0,"b",javascript,content
416,575348,"exercises/easy/ex2-type-checker.js",438,0,"j",javascript,content
417,575502,"exercises/easy/ex2-type-checker.js",439,0,"e",javascript,content
418,575602,"exercises/easy/ex2-type-checker.js",440,0,"c",javascript,content
419,576100,"exercises/easy/ex2-type-checker.js",441,0,"t",javascript,content
420,577889,"exercises/easy/ex2-type-checker.js",436,6,"object",javascript,content
420,577889,"exercises/easy/ex2-type-checker.js",436,6,"object",javascript,content
421,577890,"exercises/easy/ex2-type-checker.js",442,0,",",javascript,content
422,578193,"exercises/easy/ex2-type-checker.js",443,0," ",javascript,content
423,578330,"exercises/easy/ex2-type-checker.js",444,0,"a",javascript,content
424,578426,"exercises/easy/ex2-type-checker.js",445,0,"r",javascript,content
425,578560,"exercises/easy/ex2-type-checker.js",446,0,"r",javascript,content
426,578843,"exercises/easy/ex2-type-checker.js",447,0,"w",javascript,content
427,578910,"exercises/easy/ex2-type-checker.js",448,0,"a",javascript,content
428,579184,"exercises/easy/ex2-type-checker.js",448,1,"",javascript,content
429,579312,"exercises/easy/ex2-type-checker.js",447,1,"",javascript,content
430,579426,"exercises/easy/ex2-type-checker.js",447,0,"a",javascript,content
431,579598,"exercises/easy/ex2-type-checker.js",448,0,"y",javascript,content
432,579716,"exercises/easy/ex2-type-checker.js",444,5,"array",javascript,content
432,579716,"exercises/easy/ex2-type-checker.js",444,5,"array",javascript,content
433,579717,"exercises/easy/ex2-type-checker.js",449,0,",",javascript,content
434,580746,"exercises/easy/ex2-type-checker.js",450,0,"s",javascript,content
435,580874,"exercises/easy/ex2-type-checker.js",451,0,"t",javascript,content
436,581010,"exercises/easy/ex2-type-checker.js",452,0,"r",javascript,content
437,581056,"exercises/easy/ex2-type-checker.js",453,0,"i",javascript,content
438,581194,"exercises/easy/ex2-type-checker.js",454,0,"n",javascript,content
439,581250,"exercises/easy/ex2-type-checker.js",455,0,"g",javascript,content
440,581460,"exercises/easy/ex2-type-checker.js",450,6,"string",javascript,content
440,581460,"exercises/easy/ex2-type-checker.js",450,6,"string",javascript,content
441,581461,"exercises/easy/ex2-type-checker.js",456,0,",",javascript,content
442,582159,"exercises/easy/ex2-type-checker.js",457,0,"n",javascript,content
443,582575,"exercises/easy/ex2-type-checker.js",457,1,"",javascript,content
444,582696,"exercises/easy/ex2-type-checker.js",457,0," ",javascript,content
445,582776,"exercises/easy/ex2-type-checker.js",458,0,"n",javascript,content
446,582949,"exercises/easy/ex2-type-checker.js",459,0,"u",javascript,content
447,583143,"exercises/easy/ex2-type-checker.js",460,0,"m",javascript,content
448,583376,"exercises/easy/ex2-type-checker.js",461,0,"v",javascript,content
449,583475,"exercises/easy/ex2-type-checker.js",462,0,"e",javascript,content
450,583745,"exercises/easy/ex2-type-checker.js",462,1,"",javascript,content
451,583878,"exercises/easy/ex2-type-checker.js",461,1,"",javascript,content
452,584076,"exercises/easy/ex2-type-checker.js",461,0,"b",javascript,content
453,584471,"exercises/easy/ex2-type-checker.js",462,0,"e",javascript,content
454,584563,"exercises/easy/ex2-type-checker.js",463,0,"r",javascript,content
455,584726,"exercises/easy/ex2-type-checker.js",464,0,"m",javascript,content
456,584957,"exercises/easy/ex2-type-checker.js",465,0," ",javascript,content
457,585227,"exercises/easy/ex2-type-checker.js",465,1,"",javascript,content
458,585359,"exercises/easy/ex2-type-checker.js",464,1,"",javascript,content
459,585616,"exercises/easy/ex2-type-checker.js",464,0,",",javascript,content
460,585944,"exercises/easy/ex2-type-checker.js",465,0," ",javascript,content
461,586077,"exercises/easy/ex2-type-checker.js",466,0,"b",javascript,content
462,586143,"exercises/easy/ex2-type-checker.js",467,0,"o",javascript,content
463,586329,"exercises/easy/ex2-type-checker.js",468,0,"o",javascript,content
464,586499,"exercises/easy/ex2-type-checker.js",469,0,"l",javascript,content
465,586826,"exercises/easy/ex2-type-checker.js",470,0,"e",javascript,content
466,587463,"exercises/easy/ex2-type-checker.js",471,0,"a",javascript,content
467,587542,"exercises/easy/ex2-type-checker.js",472,0,"n",javascript,content
468,587826,"exercises/easy/ex2-type-checker.js",466,7,"boolean",javascript,content
468,587826,"exercises/easy/ex2-type-checker.js",466,7,"boolean",javascript,content
469,587828,"exercises/easy/ex2-type-checker.js",473,0,",",javascript,content
470,587976,"exercises/easy/ex2-type-checker.js",474,0," ",javascript,content
471,588152,"exercises/easy/ex2-type-checker.js",475,0,"n",javascript,content
472,588365,"exercises/easy/ex2-type-checker.js",476,0,"u",javascript,content
473,588762,"exercises/easy/ex2-type-checker.js",477,0,"l",javascript,content
474,588898,"exercises/easy/ex2-type-checker.js",478,0,"l",javascript,content
475,589281,"exercises/easy/ex2-type-checker.js",479,0,"V",javascript,content
476,589394,"exercises/easy/ex2-type-checker.js",480,0,"a",javascript,content
477,589475,"exercises/easy/ex2-type-checker.js",481,0,"l",javascript,content
478,589648,"exercises/easy/ex2-type-checker.js",482,0,"u",javascript,content
479,589754,"exercises/easy/ex2-type-checker.js",483,0,"e",javascript,content
480,589927,"exercises/easy/ex2-type-checker.js",475,9,"nullValue",javascript,content
480,589927,"exercises/easy/ex2-type-checker.js",475,9,"nullValue",javascript,content
481,589928,"exercises/easy/ex2-type-checker.js",484,0,",",javascript,content
482,590225,"exercises/easy/ex2-type-checker.js",485,0," ",javascript,content
483,590376,"exercises/easy/ex2-type-checker.js",486,0,"u",javascript,content
484,590529,"exercises/easy/ex2-type-checker.js",487,0,"n",javascript,content
485,590608,"exercises/easy/ex2-type-checker.js",488,0,"d",javascript,content
486,590767,"exercises/easy/ex2-type-checker.js",489,0,"e",javascript,content
487,590931,"exercises/easy/ex2-type-checker.js",490,0,"f",javascript,content
488,591011,"exercises/easy/ex2-type-checker.js",491,0,"i",javascript,content
489,591149,"exercises/easy/ex2-type-checker.js",492,0,"n",javascript,content
490,591427,"exercises/easy/ex2-type-checker.js",493,0,"d",javascript,content
491,591659,"exercises/easy/ex2-type-checker.js",494,0,"e",javascript,content
492,592103,"exercises/easy/ex2-type-checker.js",494,1,"",javascript,content
493,592262,"exercises/easy/ex2-type-checker.js",493,1,"",javascript,content
494,592379,"exercises/easy/ex2-type-checker.js",493,0,"e",javascript,content
495,592514,"exercises/easy/ex2-type-checker.js",494,0,"d",javascript,content
496,592828,"exercises/easy/ex2-type-checker.js",495,0,"V",javascript,content
497,592926,"exercises/easy/ex2-type-checker.js",496,0,"a",javascript,content
498,593018,"exercises/easy/ex2-type-checker.js",497,0,"l",javascript,content
499,593177,"exercises/easy/ex2-type-checker.js",498,0,"u",javascript,content
500,593311,"exercises/easy/ex2-type-checker.js",499,0,"e",javascript,content
501,593532,"exercises/easy/ex2-type-checker.js",486,14,"undefinedValue",javascript,content
501,593532,"exercises/easy/ex2-type-checker.js",486,14,"undefinedValue",javascript,content
502,593534,"exercises/easy/ex2-type-checker.js",500,0,",",javascript,content
503,594091,"exercises/easy/ex2-type-checker.js",501,0," ",javascript,content
504,594276,"exercises/easy/ex2-type-checker.js",502,0,"n",javascript,content
505,594461,"exercises/easy/ex2-type-checker.js",503,0,"a",javascript,content
506,594577,"exercises/easy/ex2-type-checker.js",504,0,"n",javascript,content
507,595030,"exercises/easy/ex2-type-checker.js",505,0,"V",javascript,content
508,595167,"exercises/easy/ex2-type-checker.js",506,0,"a",javascript,content
509,595248,"exercises/easy/ex2-type-checker.js",507,0,"l",javascript,content
510,595463,"exercises/easy/ex2-type-checker.js",508,0,"u",javascript,content
511,595725,"exercises/easy/ex2-type-checker.js",509,0,"e",javascript,content
512,597029,"exercises/easy/ex2-type-checker.js",511,0,";",javascript,content
513,649419,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n  console.log(""Hello World!"");\n\n  \n}\n\nhelloWorld();\n\nmodule.exports = helloWorld;\n",javascript,tab
514,746593,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n\n  const object = {};\n  const array = {one, two};\n  const string = ""string"";\n  const number = 1;\n  const boolean = true;\n  const nullValue = null;\n  const undefinedValue = undefined;\n  const nanValue = NaN;\n\n  console.log(typeof object, array,string, number, boolean, nullValue, undefinedValue, nanValue);\n  return{};\n}\nshowAllTypes();\n\n\nmodule.exports = showAllTypes;\n",javascript,tab
515,747118,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n  console.log(""Hello World!"");\n\n  \n}\n\nhelloWorld();\n\nmodule.exports = helloWorld;\n",javascript,tab
516,949925,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n  console.log(""Hello World!"");\n\n  \n}\n\nhelloWorld();\n\nmodule.exports = helloWorld;\n",javascript,tab
517,951576,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n\n  const object = {};\n  const array = {one, two};\n  const string = ""string"";\n  const number = 1;\n  const boolean = true;\n  const nullValue = null;\n  const undefinedValue = undefined;\n  const nanValue = NaN;\n\n  console.log(typeof object, array,string, number, boolean, nullValue, undefinedValue, nanValue);\n  return{};\n}\nshowAllTypes();\n\n\nmodule.exports = showAllTypes;\n",javascript,tab
518,959225,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n\n  console.log(""Hello World!"");\n\n  \n}\n\nhelloWorld();\n\nmodule.exports = helloWorld;\n",javascript,tab
519,1046359,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n\n  const object = {};\n  const array = {one, two};\n  const string = ""string"";\n  const number = 1;\n  const boolean = true;\n  const nullValue = null;\n  const undefinedValue = undefined;\n  const nanValue = NaN;\n\n  console.log(typeof object, array,string, number, boolean, nullValue, undefinedValue, nanValue);\n  return{};\n}\nshowAllTypes();\n\n\nmodule.exports = showAllTypes;\n",javascript,tab
520,1072586,"exercises/easy/ex2-type-checker.js",246,0,"""",javascript,content
521,1074124,"exercises/easy/ex2-type-checker.js",250,0,"""",javascript,content
522,1076084,"exercises/easy/ex2-type-checker.js",253,0,"""",javascript,content
523,1077193,"exercises/easy/ex2-type-checker.js",257,0,"""",javascript,content
524,1080241,"exercises/easy/ex2-type-checker.js",251,1,"",javascript,content
525,1084514,"exercises/easy/ex2-type-checker.js",256,1,"",javascript,content
526,1084701,"exercises/easy/ex2-type-checker.js",255,1,"",javascript,content
527,1084862,"exercises/easy/ex2-type-checker.js",254,1,"",javascript,content
528,1084998,"exercises/easy/ex2-type-checker.js",253,1,"",javascript,content
529,1085146,"exercises/easy/ex2-type-checker.js",252,1,"",javascript,content
530,1085298,"exercises/easy/ex2-type-checker.js",251,1,"",javascript,content
531,1089852,"exercises/easy/ex2-type-checker.js",251,0," ",javascript,content
532,1092048,"exercises/easy/ex2-type-checker.js",253,1,"",javascript,content
533,1092214,"exercises/easy/ex2-type-checker.js",252,1,"",javascript,content
534,1092398,"exercises/easy/ex2-type-checker.js",251,1,"",javascript,content
535,1093540,"exercises/easy/ex2-type-checker.js",251,0,"}",javascript,content
536,1095144,"exercises/easy/ex2-type-checker.js",252,0,";",javascript,content
537,1096752,"exercises/easy/ex2-type-checker.js",251,0," ",javascript,content
538,1098542,"exercises/easy/ex2-type-checker.js",252,0,";",javascript,content
539,1099382,"exercises/easy/ex2-type-checker.js",252,1,"",javascript,content
540,1099664,"exercises/easy/ex2-type-checker.js",252,0,";",javascript,content
541,1100307,"exercises/easy/ex2-type-checker.js",252,1,"",javascript,content
542,1100551,"exercises/easy/ex2-type-checker.js",252,0,":",javascript,content
543,1101473,"exercises/easy/ex2-type-checker.js",253,0," ",javascript,content
544,1101747,"exercises/easy/ex2-type-checker.js",254,0,"1",javascript,content
545,1102700,"exercises/easy/ex2-type-checker.js",255,0,",",javascript,content
546,1103465,"exercises/easy/ex2-type-checker.js",256,0," ",javascript,content
547,1103852,"exercises/easy/ex2-type-checker.js",257,0,"""""",javascript,content
548,1104457,"exercises/easy/ex2-type-checker.js",258,0,"t",javascript,content
549,1104623,"exercises/easy/ex2-type-checker.js",259,0,"w",javascript,content
550,1104815,"exercises/easy/ex2-type-checker.js",260,0,"i",javascript,content
551,1105200,"exercises/easy/ex2-type-checker.js",260,1,"",javascript,content
552,1105362,"exercises/easy/ex2-type-checker.js",260,0,"o",javascript,content
553,1105992,"exercises/easy/ex2-type-checker.js",261,1,"""",javascript,content
554,1106882,"exercises/easy/ex2-type-checker.js",262,0,":",javascript,content
555,1107356,"exercises/easy/ex2-type-checker.js",263,0," ",javascript,content
556,1107600,"exercises/easy/ex2-type-checker.js",264,0,"2",javascript,content
557,1111691,"exercises/easy/ex2-type-checker.js",264,1,"",javascript,content
558,1112383,"exercises/easy/ex2-type-checker.js",263,1,"",javascript,content
559,1112868,"exercises/easy/ex2-type-checker.js",262,1,"",javascript,content
560,1132930,"exercises/easy/ex2-type-checker.js",262,0," ",javascript,content
561,1133181,"exercises/easy/ex2-type-checker.js",263,0,":",javascript,content
562,1134363,"exercises/easy/ex2-type-checker.js",264,0,"2",javascript,content
563,1134981,"exercises/easy/ex2-type-checker.js",264,1,"",javascript,content
564,1135103,"exercises/easy/ex2-type-checker.js",264,0," ",javascript,content
565,1135154,"exercises/easy/ex2-type-checker.js",265,0,"2",javascript,content
566,1193920,"exercises/easy/ex2-type-checker.js",268,0,"]",javascript,content
566,1193920,"exercises/easy/ex2-type-checker.js",268,0,"]",javascript,content
567,1193920,"exercises/easy/ex2-type-checker.js",245,0,"[",javascript,content
568,1197221,"exercises/easy/ex2-type-checker.js",269,1,"",javascript,content
569,1197383,"exercises/easy/ex2-type-checker.js",268,1,"",javascript,content
570,1198149,"exercises/easy/ex2-type-checker.js",267,1,"",javascript,content
571,1198647,"exercises/easy/ex2-type-checker.js",266,1,"",javascript,content
572,1198699,"exercises/easy/ex2-type-checker.js",265,1,"",javascript,content
573,1198714,"exercises/easy/ex2-type-checker.js",264,1,"",javascript,content
574,1198751,"exercises/easy/ex2-type-checker.js",263,1,"",javascript,content
575,1198781,"exercises/easy/ex2-type-checker.js",262,1,"",javascript,content
576,1198814,"exercises/easy/ex2-type-checker.js",261,1,"",javascript,content
577,1198848,"exercises/easy/ex2-type-checker.js",260,1,"",javascript,content
578,1198866,"exercises/easy/ex2-type-checker.js",259,1,"",javascript,content
579,1198898,"exercises/easy/ex2-type-checker.js",258,1,"",javascript,content
580,1198948,"exercises/easy/ex2-type-checker.js",257,1,"",javascript,content
581,1198980,"exercises/easy/ex2-type-checker.js",256,1,"",javascript,content
582,1199014,"exercises/easy/ex2-type-checker.js",255,1,"",javascript,content
583,1199049,"exercises/easy/ex2-type-checker.js",254,1,"",javascript,content
584,1199081,"exercises/easy/ex2-type-checker.js",253,1,"",javascript,content
585,1199104,"exercises/easy/ex2-type-checker.js",252,1,"",javascript,content
586,1199131,"exercises/easy/ex2-type-checker.js",251,1,"",javascript,content
587,1199180,"exercises/easy/ex2-type-checker.js",250,1,"",javascript,content
588,1199214,"exercises/easy/ex2-type-checker.js",249,1,"",javascript,content
589,1199248,"exercises/easy/ex2-type-checker.js",248,1,"",javascript,content
590,1199371,"exercises/easy/ex2-type-checker.js",247,1,"",javascript,content
591,1199571,"exercises/easy/ex2-type-checker.js",246,1,"",javascript,content
592,1200858,"exercises/easy/ex2-type-checker.js",246,0,"]",javascript,content
593,1201795,"exercises/easy/ex2-type-checker.js",247,0,";",javascript,content
594,1205573,"exercises/easy/ex2-type-checker.js",246,0,"1",javascript,content
595,1207271,"exercises/easy/ex2-type-checker.js",246,1,"",javascript,content
596,1207965,"exercises/easy/ex2-type-checker.js",246,0,"1",javascript,content
597,1208833,"exercises/easy/ex2-type-checker.js",247,0,",",javascript,content
598,1209082,"exercises/easy/ex2-type-checker.js",248,0,"2",javascript,content
599,1211677,"exercises/easy/ex2-type-checker.js",226,0,"o",javascript,content
600,1211900,"exercises/easy/ex2-type-checker.js",227,0,"b",javascript,content
601,1211997,"exercises/easy/ex2-type-checker.js",228,0,"j",javascript,content
602,1212153,"exercises/easy/ex2-type-checker.js",229,0,"e",javascript,content
603,1212269,"exercises/easy/ex2-type-checker.js",230,0,"c",javascript,content
604,1212566,"exercises/easy/ex2-type-checker.js",231,0,"t",javascript,content
605,1214217,"exercises/easy/ex2-type-checker.js",232,0,":",javascript,content
606,1214535,"exercises/easy/ex2-type-checker.js",233,0,"o",javascript,content
607,1214710,"exercises/easy/ex2-type-checker.js",234,0,"b",javascript,content
608,1214818,"exercises/easy/ex2-type-checker.js",235,0,"j",javascript,content
609,1215084,"exercises/easy/ex2-type-checker.js",235,1,"",javascript,content
610,1215273,"exercises/easy/ex2-type-checker.js",234,1,"",javascript,content
611,1215404,"exercises/easy/ex2-type-checker.js",233,1,"",javascript,content
612,1215550,"exercises/easy/ex2-type-checker.js",232,1,"",javascript,content
613,1215698,"exercises/easy/ex2-type-checker.js",231,1,"",javascript,content
614,1215848,"exercises/easy/ex2-type-checker.js",230,1,"",javascript,content
615,1216014,"exercises/easy/ex2-type-checker.js",229,1,"",javascript,content
616,1216148,"exercises/easy/ex2-type-checker.js",228,1,"",javascript,content
617,1216335,"exercises/easy/ex2-type-checker.js",227,1,"",javascript,content
618,1216602,"exercises/easy/ex2-type-checker.js",226,1,"",javascript,content
619,1223240,"exercises/easy/ex2-type-checker.js",226,0,"o",javascript,content
620,1223348,"exercises/easy/ex2-type-checker.js",227,0,"b",javascript,content
621,1223450,"exercises/easy/ex2-type-checker.js",228,0,"j",javascript,content
622,1223586,"exercises/easy/ex2-type-checker.js",229,0,"e",javascript,content
623,1223650,"exercises/easy/ex2-type-checker.js",230,0,"c",javascript,content
624,1223871,"exercises/easy/ex2-type-checker.js",231,0,"t",javascript,content
625,1243886,"exercises/easy/ex2-type-checker.js",231,1,"",javascript,content
626,1244033,"exercises/easy/ex2-type-checker.js",230,1,"",javascript,content
627,1244198,"exercises/easy/ex2-type-checker.js",229,1,"",javascript,content
628,1244349,"exercises/easy/ex2-type-checker.js",228,1,"",javascript,content
629,1244484,"exercises/easy/ex2-type-checker.js",227,1,"",javascript,content
630,1244704,"exercises/easy/ex2-type-checker.js",226,1,"",javascript,content
631,1265195,"exercises/easy/ex2-type-checker.js",248,1,"",javascript,content
632,1265399,"exercises/easy/ex2-type-checker.js",247,1,"",javascript,content
633,1265667,"exercises/easy/ex2-type-checker.js",246,1,"",javascript,content
634,1267149,"exercises/easy/ex2-type-checker.js",272,1,"",javascript,content
635,1267333,"exercises/easy/ex2-type-checker.js",271,1,"",javascript,content
636,1267482,"exercises/easy/ex2-type-checker.js",270,1,"",javascript,content
637,1267656,"exercises/easy/ex2-type-checker.js",269,1,"",javascript,content
638,1267838,"exercises/easy/ex2-type-checker.js",268,1,"",javascript,content
639,1268036,"exercises/easy/ex2-type-checker.js",267,1,"",javascript,content
640,1317852,"exercises/easy/ex2-type-checker.js",287,1,"",javascript,content
641,1319751,"exercises/easy/ex2-type-checker.js",287,0,"1",javascript,content
642,1378287,"exercises/easy/ex2-type-checker.js",430,0,"t",javascript,content
643,1378436,"exercises/easy/ex2-type-checker.js",431,0,"y",javascript,content
644,1378567,"exercises/easy/ex2-type-checker.js",432,0,"p",javascript,content
645,1378866,"exercises/easy/ex2-type-checker.js",433,0,"e",javascript,content
646,1379100,"exercises/easy/ex2-type-checker.js",434,0,"o",javascript,content
647,1379222,"exercises/easy/ex2-type-checker.js",435,0,"f",javascript,content
648,1384154,"exercises/easy/ex2-type-checker.js",436,0," ",javascript,content
649,1388692,"exercises/easy/ex2-type-checker.js",443,0," ",javascript,content
650,1388927,"exercises/easy/ex2-type-checker.js",444,0,"typeof",javascript,content
651,1389384,"exercises/easy/ex2-type-checker.js",450,0," ",javascript,content
652,1391623,"exercises/easy/ex2-type-checker.js",459,0,"typeof",javascript,content
653,1391806,"exercises/easy/ex2-type-checker.js",465,0," ",javascript,content
654,1393973,"exercises/easy/ex2-type-checker.js",474,0,"typeof",javascript,content
655,1394314,"exercises/easy/ex2-type-checker.js",480,0," ",javascript,content
656,1396027,"exercises/easy/ex2-type-checker.js",490,0,"typeof",javascript,content
657,1396197,"exercises/easy/ex2-type-checker.js",496,0," ",javascript,content
658,1403299,"exercises/easy/ex2-type-checker.js",524,0,"typeof",javascript,content
659,1403488,"exercises/easy/ex2-type-checker.js",530,0," ",javascript,content
660,1405389,"exercises/easy/ex2-type-checker.js",508,0,"typeof",javascript,content
661,1405565,"exercises/easy/ex2-type-checker.js",514,0," ",javascript,content
662,1503516,"exercises/easy/ex2-type-checker.js",246,0,"a",javascript,content
663,1503617,"exercises/easy/ex2-type-checker.js",247,0,"r",javascript,content
664,1503736,"exercises/easy/ex2-type-checker.js",248,0,"r",javascript,content
665,1503853,"exercises/easy/ex2-type-checker.js",249,0,"r",javascript,content
666,1504075,"exercises/easy/ex2-type-checker.js",250,0,"a",javascript,content
667,1505005,"exercises/easy/ex2-type-checker.js",251,0,"y",javascript,content
668,1505205,"exercises/easy/ex2-type-checker.js",252,0,"1",javascript,content
669,1506388,"exercises/easy/ex2-type-checker.js",253,0,",",javascript,content
670,1506528,"exercises/easy/ex2-type-checker.js",254,0," ",javascript,content
671,1506723,"exercises/easy/ex2-type-checker.js",255,0,"a",javascript,content
672,1507075,"exercises/easy/ex2-type-checker.js",256,0,"r",javascript,content
673,1507221,"exercises/easy/ex2-type-checker.js",257,0,"r",javascript,content
674,1507327,"exercises/easy/ex2-type-checker.js",258,0,"a",javascript,content
675,1507473,"exercises/easy/ex2-type-checker.js",259,0,"y",javascript,content
676,1507807,"exercises/easy/ex2-type-checker.js",260,0,"2",javascript,content
677,1571759,"exercises/easy/ex2-type-checker.js",243,20,"",javascript,content
678,1572052,"exercises/easy/ex2-type-checker.js",242,1,"",javascript,content
679,1573365,"exercises/easy/ex2-type-checker.js",242,0,"[]",javascript,content
680,1573436,"exercises/easy/ex2-type-checker.js",243,1,"]",javascript,content
681,1574350,"exercises/easy/ex2-type-checker.js",244,0," ",javascript,content
682,1575238,"exercises/easy/ex2-type-checker.js",245,0,"=",javascript,content
683,1575355,"exercises/easy/ex2-type-checker.js",246,0," ",javascript,content
684,1578032,"exercises/easy/ex2-type-checker.js",247,0,"{}",javascript,content
685,1578140,"exercises/easy/ex2-type-checker.js",248,1,"}",javascript,content
686,1579486,"exercises/easy/ex2-type-checker.js",249,0,";",javascript,content
687,1619883,"exercises/easy/ex2-type-checker.js",244,0," ",javascript,content
688,1620161,"exercises/easy/ex2-type-checker.js",245,0,"a",javascript,content
689,1620405,"exercises/easy/ex2-type-checker.js",246,0,"r",javascript,content
